key	FR	EN	DE
"Define the date range where the test will be accessible. You can set a ""start"" and an optional ""end"" date and time."	"Définissez la plage de dates à laquelle le test sera accessible. Vous pouvez définir une date et une heure de ""début"" et une date et une heure de ""fin"" facultatives."	"Define the date range where the test will be accessible. You can set a ""start"" and an optional ""end"" date and time."	"Definieren Sie den Datumsbereich, in dem der Test zugänglich sein soll. Sie können ein ""Start""- und ein optionales ""End""-Datum und Uhrzeit festlegen."
Delete end date	Supprimer la date de fin	Delete end date	Enddatum löschen
Delete restriction	Supprimer la restriction	Delete restriction	Einschränkung löschen
Edit daily time restriction	Modifier la restriction horaire quotidienne	Edit daily time restriction	Tägliche Zeitbeschränkung bearbeiten
Edit date restriction	Restriction de la date d'édition	Edit date restriction	Datumseinschränkung bearbeiten
Edit testing days restriction	Modifier la restriction des jours d'essai	Edit testing days restriction	Einschränkung der Testtage bearbeiten
Force logoff on inactive test	Forcer la déconnexion sur un test inactif	Force logoff on inactive test	Abmeldung bei inaktivem Test erzwingen
Fri	Ven	Fri	Fr
from	de	from	von
Global permission schema changes synchronized to permission entries.	Les modifications du schéma d'autorisation global sont synchronisées avec les entrées d'autorisation.	Global permission schema changes synchronized to permission entries.	Änderungen am globalen Berechtigungsschema werden mit den Berechtigungseinträgen synchronisiert.
Illegal input detected! Aborting Request.	Entrée illégale détectée ! Abandon de la demande.	Illegal input detected! Aborting Request.	Unzulässige Eingabe erkannt! Abbruch der Anfrage.
infinite	infini	infinite	unendlich
JSON permission schema file not valid. It may have been incorrectly updated. Please report to Oasys Administrator.	Le fichier de schéma d'autorisation JSON n'est pas valide. Il a peut-être été mis à jour de manière incorrecte. Veuillez le signaler à l'administrateur Oasys.	JSON permission schema file not valid. It may have been incorrectly updated. Please report to Oasys Administrator.	JSON-Berechtigungsschema-Datei nicht gültig. Möglicherweise wurde sie falsch aktualisiert. Bitte melden Sie dies dem Oasys-Administrator.
Mon	Lun	Mon	Mo
Move the sliders to set the start and end time of the daily test time restriction. Outside of this daily range, test takers will not be able to run the test.	Déplacez les curseurs pour définir l'heure de début et de fin de la restriction horaire quotidienne du test. En dehors de cette plage quotidienne, les candidats ne pourront pas effectuer le test.	Move the sliders to set the start and end time of the daily test time restriction. Outside of this daily range, test takers will not be able to run the test.	Bewegen Sie die Schieberegler, um die Start- und Endzeit der täglichen Testzeitbeschränkung einzustellen. Außerhalb dieses täglichen Bereichs können die Testteilnehmer den Test nicht durchführen.
No test data found to process.	Aucune donnée d'essai trouvée à traiter.	No test data found to process.	Es wurden keine Testdaten zur Verarbeitung gefunden.
Not set	Non défini	Not set	Nicht gesetzt
Page referrer token not found.	Le jeton de référence de la page n'a pas été trouvé	Page referrer token not found.	Seitenverweis-Token nicht gefunden.
Password reset on non-local account type not allowed.	La réinitialisation du mot de passe sur un type de compte non local n'est pas autorisée.	Password reset on non-local account type not allowed.	Kennwortrücksetzung bei nicht lokalem Kontotyp nicht erlaubt.
Permission	Permission	Permission	Berechtigung
Permission[2] JSON schema file is invalid. Please report to Oasys Administrator.	Permission[2] Le fichier de schéma JSON est invalide. Veuillez le signaler à l'administrateur Oasys.	Permission[2] JSON schema file is invalid. Please report to Oasys Administrator.	Permission[2] JSON-Schemadatei ist ungültig. Bitte melden Sie dies dem Oasys-Administrator.
Please manually check standard permission rights on these user accounts.	Veuillez vérifier manuellement les droits d'autorisation standard sur ces comptes d'utilisateur.	Please manually check standard permission rights on these user accounts.	Bitte überprüfen Sie manuell die Standardberechtigungen auf diesen Benutzerkonten.
Recorded data found!	Données enregistrées trouvées !	Recorded data found!	Aufgezeichnete Daten gefunden!
Sat	Sam	Sat	Sa
Set end date	Fixer la date de fin	Set end date	Enddatum einstellen
Structure not found for test taker ID.	Structure non trouvée pour l'ID du candidat au test.	Structure not found for test taker ID.	Struktur für Testteilnehmer-ID nicht gefunden.
Sun	Dim	Sun	So
Test active	Test actif	Test active	Test aktiv
Testing days	Jours d'essai	Testing days	Testtage
The following user entries did not have any general access definitions and were automatically repaired.	Les entrées utilisateur suivantes n'avaient pas de définitions d'accès général et ont été réparées automatiquement.	The following user entries did not have any general access definitions and were automatically repaired.	Die folgenden Benutzereinträge hatten keine allgemeinen Zugriffsdefinitionen und wurden automatisch repariert.
Thu	Jeu	Thu	Do
Time:	Heure :	Time:	Zeit:
to	à	to	bis
Tue	Mar	Tue	Di
To:	À:	To:	Bis:
Unable to load item data values for permission handling.	Impossible de charger les valeurs de données des éléments pour la gestion des autorisations.	Unable to load item data values for permission handling.	Datenwerte für die Rechteverwaltung können nicht geladen werden.
Unable to set internal variables based on module referral.	Impossible de définir les variables internes en fonction de la référence du module.	Unable to set internal variables based on module referral.	Interne Variablen können aufgrund einer Modulreferenz nicht gesetzt werden.
Unauthorized action on admin user without elevated privileges.	Action non autorisée sur l'utilisateur admin sans privilèges élevés.	Unauthorized action on admin user without elevated privileges.	Unerlaubte Aktion des Admin-Benutzers ohne erhöhte Berechtigungen.
Unauthorized action on own account.	Action non autorisée sur son propre compte.	Unauthorized action on own account.	Unbefugtes Handeln auf eigenem Benutzerkonto.
Unauthorized action on superadmin user.	Action non autorisée sur l'utilisateur superadmin.	Unauthorized action on superadmin user.	Unerlaubte Aktion auf Superadmin-Benutzer.
Unauthorized new user creation attempt in admin group.	Tentative de création d'un nouvel utilisateur non autorisé dans le groupe admin.	Unauthorized new user creation attempt in admin group.	Unerlaubter Versuch, einen neuen Benutzer in der Admin-Gruppe anzulegen.
Unauthorized new user creation attempt in superadmin group.	Tentative de création d'un nouvel utilisateur non autorisé dans le groupe superadmin.	Unauthorized new user creation attempt in superadmin group.	Unerlaubter Versuch, einen neuen Benutzer in der Superadmin-Gruppe anzulegen.
Unauthorized operation attempted.	Tentative d'opération non autorisée.	Unauthorized operation attempted.	Unerlaubter Vorgang.
Unauthorized operation. You may not edit the admin editor access list.	Opération non autorisée. Vous ne pouvez pas modifier la liste d'accès de l'éditeur admin.	Unauthorized operation. You may not edit the admin editor access list.	Unerlaubter Vorgang. Sie dürfen die Zugriffsliste eines Admin-Accounts nicht bearbeiten.
Unauthorized user deletion attempt detected.	Tentative de suppression d'un utilisateur non autorisé détectée.	Unauthorized user deletion attempt detected.	Unerlaubter Benutzerlöschversuch erkannt.
On all selected days, test takers will be able to run the test. Unselect the week days the test should not be active and accessible.	Sur tous les jours sélectionnés, les candidats pourront effectuer le test. Désélectionnez les jours de la semaine où le test ne doit pas être actif et accessible. 	On all selected days, test takers will be able to run the test. Unselect the week days the test should not be active and accessible.	An allen ausgewählten Tagen können die Testteilnehmer den Test durchführen. Deselektieren Sie die Wochentage, an denen der Test nicht aktiv sein soll.
Updated user settings.	Mise à jour des paramètres utilisateur.	Updated user settings.	Benutzereinstellungen aktualisiert.
Valid from:	Valable à partir de :	Valid from:	Gültig von:
Validity	Validité	Validity	Gültigkeit
Wed	Mer	Wed	Mi
You are not allowed to perform this operation on this item.	Vous n'êtes pas autorisé à effectuer cette opération sur cet item.	You are not allowed to perform this operation on this item.	Sie dürfen diesen Vorgang für dieses Element nicht durchführen.
You may not inherit permissions from the root folder.	Vous ne pouvez pas hériter des permissions du dossier racine.	You may not inherit permissions from the root folder.	Sie dürfen keine Berechtigungen vom Stammordner erben.
